,Id,sales0,sales1,sales2,sales3,sales4,country,State,CouSub,countyname,storecode,Areaname,countytownname,population,state_alpha,store_Type,prediction,prediction_probablitiy
0,101799999,696,511,514,867,1034,17.0,1,99999,Chambers County,NCNTY01017N01017,"Chambers County, AL",Chambers County,34215.0,AL,Supermarket Type1,0,0.3226396056734293
1,101999999,599,481,500,883,894,19.0,1,99999,Cherokee County,NCNTY01019N01019,"Cherokee County, AL",Cherokee County,25989.0,AL,Supermarket Type1,0,0.1755434421168787
2,102199999,599,423,475,802,1061,21.0,1,99999,Chilton County,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,43643.0,AL,Supermarket Type1,0,0.31299933501139393
3,103599999,599,459,462,883,886,35.0,1,99999,Conecuh County,NCNTY01035N01035,"Conecuh County, AL",Conecuh County,13228.0,AL,Supermarket Type1,0,0.1977647135071298
4,103799999,599,481,505,746,801,37.0,1,99999,Coosa County,NCNTY01037N01037,"Coosa County, AL",Coosa County,11539.0,AL,Supermarket Type3,0,0.21441468759564875
5,103999999,599,460,463,866,961,39.0,1,99999,Covington County,NCNTY01039N01039,"Covington County, AL",Covington County,37765.0,AL,Supermarket Type1,0,0.26152320238069465
6,105199999,788,628,663,1084,1288,51.0,1,99999,Elmore County,METRO33860M33860,"Montgomery, AL MSA",Elmore County,79303.0,AL,Supermarket Type1,1,0.7686410578312821
7,105399999,599,484,505,746,870,53.0,1,99999,Escambia County,NCNTY01053N01053,"Escambia County, AL",Escambia County,38319.0,AL,Supermarket Type1,0,0.2753186371145196
8,106599999,757,450,572,950,1079,65.0,1,99999,Hale County,METRO46220M46220,"Tuscaloosa, AL MSA",Hale County,15760.0,AL,Supermarket Type2,0,0.4071650813200304
9,106799999,599,435,465,883,987,67.0,1,99999,Henry County,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",Henry County,17302.0,AL,Supermarket Type1,0,0.21437811896161024
10,107399999,773,545,652,1015,1142,73.0,1,99999,Jefferson County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Jefferson County,658466.0,AL,Supermarket Type3,1,0.8002556751197388
11,108399999,711,515,576,978,1033,83.0,1,99999,Limestone County,METRO26620M26620,"Huntsville, AL MSA",Limestone County,82782.0,AL,Supermarket Type1,1,0.8233290060371875
12,108799999,599,440,443,746,848,87.0,1,99999,Macon County,NCNTY01087N01087,"Macon County, AL",Macon County,21452.0,AL,Supermarket Type2,0,0.27798502715685214
13,110399999,655,457,552,908,936,103.0,1,99999,Morgan County,METRO19460M19460,"Decatur, AL MSA",Morgan County,119490.0,AL,Supermarket Type1,1,0.7226497813160347
14,111199999,619,486,489,771,827,111.0,1,99999,Randolph County,NCNTY01111N01111,"Randolph County, AL",Randolph County,22913.0,AL,Supermarket Type2,0,0.3284467270242658
15,112799999,608,491,502,840,1021,127.0,1,99999,Walker County,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",Walker County,67023.0,AL,Grocery Store,0,0.42010534339241784
16,113199999,599,440,443,746,801,131.0,1,99999,Wilcox County,NCNTY01131N01131,"Wilcox County, AL",Wilcox County,11670.0,AL,Grocery Store,0,0.21893210675199976
17,113399999,599,481,505,820,1061,133.0,1,99999,Winston County,NCNTY01133N01133,"Winston County, AL",Winston County,24484.0,AL,Supermarket Type1,0,0.3099789819411182
18,201399999,834,599,703,1039,1204,13.0,2,99999,Aleutians East Borough,NCNTY02013N02013,"Aleutians East Borough, AK",Aleutians East Borough,3141.0,AK,Supermarket Type1,0,0.34514985423260436
19,218599999,1097,734,925,1366,1759,185.0,2,99999,North Slope Borough,NCNTY02185N02185,"North Slope Borough, AK",North Slope Borough,9430.0,AK,Supermarket Type3,0,0.4796287712601524
20,218899999,1261,1019,1064,1571,1685,188.0,2,99999,Northwest Arctic Borough,NCNTY02188N02188,"Northwest Arctic Borough, AK",Northwest Arctic Borough,7523.0,AK,Supermarket Type1,0,0.49801765160930567
21,228299999,870,625,679,1282,1541,282.0,2,99999,Yakutat City and Borough,NCNTY02282N02282,"Yakutat City and Borough, AK",Yakutat City and Borough,662.0,AK,Supermarket Type1,0,0.3554804275223728
22,229099999,734,593,609,914,1139,290.0,2,99999,Yukon-Koyukuk Census Area,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,5588.0,AK,Grocery Store,0,0.2521368410371496
23,400199999,643,389,475,805,967,1.0,4,99999,Apache County,NCNTY04001N04001,"Apache County, AZ",Apache County,71518.0,AZ,Supermarket Type1,1,0.7290178171158042
24,401199999,643,458,475,801,859,11.0,4,99999,Greenlee County,NCNTY04011N04011,"Greenlee County, AZ",Greenlee County,8437.0,AZ,Supermarket Type3,0,0.2590132607172591
25,401599999,752,477,589,1019,1180,15.0,4,99999,Mohave County,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",Mohave County,200186.0,AZ,Supermarket Type2,1,0.524962742340219
26,401799999,727,534,537,1025,1036,17.0,4,99999,Navajo County,NCNTY04017N04017,"Navajo County, AZ",Navajo County,107449.0,AZ,Supermarket Type1,1,0.6180212446394332
27,402599999,796,555,630,1173,1240,25.0,4,99999,Yavapai County,METRO39140M39140,"Prescott, AZ MSA",Yavapai County,211033.0,AZ,Supermarket Type1,1,0.6084053850002765
28,500199999,592,435,438,737,840,1.0,5,99999,Arkansas County,NCNTY05001N05001,"Arkansas County, AR",Arkansas County,19019.0,AR,Supermarket Type1,0,0.11852070887488858
29,501399999,624,458,461,777,944,13.0,5,99999,Calhoun County,NCNTY05013N05013,"Calhoun County, AR",Calhoun County,5368.0,AR,Supermarket Type1,0,0.21320318206110317
